,Product,Date Range,Market Price
166,151 Booster Bundle Display Case,1/7 to 1/9,$1.87
167,151 Booster Bundle Display Case,1/7 to 1/9,$1.77
168,151 Booster Bundle Display Case,1/8 to 1/10,$1.88
169,151 Booster Bundle Display Case,1/8 to 1/10,$1.78
170,151 Booster Bundle Display Case,1/9 to 1/11,$2.30
171,151 Booster Bundle Display Case,1/9 to 1/11,$2.20
172,151 Booster Bundle Display Case,1/10 to 1/12,$2.10
173,151 Booster Bundle Display Case,1/10 to 1/12,$1.90
174,151 Booster Bundle Display Case,1/11 to 1/13,$1.55
175,151 Booster Bundle Display Case,1/11 to 1/13,$1.25
176,151 Booster Bundle Display Case,1/12 to 1/14,$1.44
177,151 Booster Bundle Display Case,1/12 to 1/14,$1.14
178,151 Booster Bundle Display Case,1/13 to 1/15,$1.33
179,151 Booster Bundle Display Case,1/13 to 1/15,$1.13
180,151 Booster Bundle Display Case,1/14 to 1/16,$1.32
181,151 Booster Bundle Display Case,1/14 to 1/16,$1.12
182,151 Booster Bundle Display Case,1/15 to 1/17,$1.45
183,151 Booster Bundle Display Case,1/15 to 1/17,$1.25
184,151 Booster Bundle Display Case,1/16 to 1/18,$1.41
185,151 Booster Bundle Display Case,1/16 to 1/18,$1.21
186,151 Booster Bundle Display Case,1/17 to 1/19,$1.55
187,151 Booster Bundle Display Case,1/17 to 1/19,$1.45
188,151 Booster Bundle Display Case,1/18 to 1/20,$1.55
189,151 Booster Bundle Display Case,1/18 to 1/20,$1.45
190,151 Booster Bundle Display Case,1/19 to 1/21,$1.55
191,151 Booster Bundle Display Case,1/19 to 1/21,$1.45
192,151 Booster Bundle Display Case,1/20 to 1/22,$2.66
193,151 Booster Bundle Display Case,1/20 to 1/22,$2.46
194,151 Booster Bundle Display Case,1/21 to 1/23,$2.90
195,151 Booster Bundle Display Case,1/21 to 1/23,$2.80
196,151 Booster Bundle Display Case,1/22 to 1/24,$2.87
197,151 Booster Bundle Display Case,1/22 to 1/24,$2.67
198,151 Booster Bundle Display Case,1/23 to 1/25,$2.88
199,151 Booster Bundle Display Case,1/23 to 1/25,$2.68
200,151 Booster Bundle Display Case,1/24 to 1/26,$3.30
201,151 Booster Bundle Display Case,1/24 to 1/26,$3.10
202,151 Booster Bundle Display Case,1/25 to 1/27,$3.10
203,151 Booster Bundle Display Case,1/25 to 1/27,$2.90
204,151 Booster Bundle Display Case,1/26 to 1/28,$2.55
205,151 Booster Bundle Display Case,1/26 to 1/28,$2.35
206,151 Booster Bundle Display Case,1/27 to 1/29,$3.44
207,151 Booster Bundle Display Case,1/27 to 1/29,$3.24
208,151 Booster Bundle Display Case,1/28 to 1/30,$3.33
209,151 Booster Bundle Display Case,1/28 to 1/30,$3.13
210,151 Booster Pack,7/16 to 7/18,$5.98
211,151 Booster Pack,7/19 to 7/21,$5.96
212,151 Booster Pack,7/22 to 7/24,$5.95
213,151 Booster Pack,7/25 to 7/27,$5.93
214,151 Booster Pack,7/28 to 7/30,$5.92
215,151 Booster Pack,7/31 to 8/2,$5.84
216,151 Booster Pack,8/3 to 8/5,$5.83
217,151 Booster Pack,8/6 to 8/8,$5.77
218,151 Booster Pack,8/9 to 8/11,$5.72
219,151 Booster Pack,8/12 to 8/14,$5.63
220,151 Booster Pack,8/15 to 8/17,$5.52
221,151 Booster Pack,8/18 to 8/20,$5.37
222,151 Booster Pack,8/21 to 8/23,$5.36
223,151 Booster Pack,8/24 to 8/26,$5.37
224,151 Booster Pack,8/27 to 8/29,$5.62
225,151 Booster Pack,8/30 to 9/1,$5.89
226,151 Booster Pack,9/2 to 9/4,$6.31
227,151 Booster Pack,9/5 to 9/7,$7.06
228,151 Booster Pack,9/8 to 9/10,$6.79
229,151 Booster Pack,9/11 to 9/13,$6.05
